,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
150,28975,2017,chevrolet,silverado 1500,2019-01-07,13,excellent,8.0,gas,8354,automatic,truck,black,1.0,7
151,14995,2011,jeep,wrangler,2019-01-25,49,excellent,6.0,gas,118371,automatic,SUV,orange,1.0,13
153,12990,2011,ford,expedition,2018-06-11,50,good,8.0,gas,124775,automatic,SUV,custom,1.0,13
160,31800,2018,chevrolet,silverado 1500 crew,2019-01-29,29,good,8.0,gas,22838,automatic,pickup,white,1.0,6
169,9950,2008,toyota,4runner,2018-10-28,11,excellent,6.0,gas,207348,automatic,SUV,other,1.0,16
171,9850,2008,chevrolet,silverado 1500,2018-08-15,36,good,8.0,gas,182225,automatic,truck,blue,1.0,16
174,5995,2006,ford,ranger,2018-11-10,35,good,6.0,gas,148600,automatic,truck,silver,1.0,18
175,6900,2011,subaru,outback,2018-11-02,57,excellent,6.0,gas,135445,automatic,SUV,other,1.0,13
177,31400,2016,chevrolet,silverado 1500 crew,2019-01-17,64,good,8.0,gas,15070,automatic,pickup,black,1.0,8
178,24200,2018,nissan,frontier crew cab sv,2018-06-29,9,good,6.0,gas,11034,other,pickup,blue,1.0,6
182,11950,2003,jeep,wrangler,2018-08-01,15,excellent,6.0,gas,97211,automatic,SUV,custom,1.0,21
183,16950,2010,jeep,wrangler,2018-12-26,29,excellent,6.0,gas,85490,other,SUV,red,1.0,14
187,15000,2009,toyota,tacoma,2019-02-20,30,excellent,6.0,gas,221000,automatic,truck,black,1.0,15
188,52000,2008,ford,f350 super duty,2018-06-27,24,good,8.0,diesel,117500,automatic,truck,grey,1.0,16
189,10950,2011,ford,expedition,2018-12-23,33,excellent,8.0,gas,130390,automatic,SUV,other,1.0,13
191,3950,2009,subaru,impreza,2018-08-22,19,excellent,4.0,gas,137882,automatic,hatchback,silver,1.0,15
192,5295,2005,ford,f-150,2018-06-19,15,good,8.0,gas,225000,automatic,pickup,white,1.0,19
194,8999,2013,ford,escape,2018-06-03,31,excellent,4.0,gas,122964,automatic,wagon,other,1.0,11
