,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
9062,14990,2015,subaru,impreza,2018-06-12,51,excellent,4.0,gas,47420,automatic,wagon,white,1.0,9
9064,31000,2013,gmc,sierra 2500hd,2018-10-25,27,good,8.0,diesel,130000,automatic,truck,black,1.0,11
9069,8995,2007,chevrolet,colorado,2019-02-16,34,excellent,4.0,gas,148012,automatic,truck,red,1.0,17
9078,4495,1998,jeep,wrangler,2018-06-27,56,excellent,4.0,gas,120000,manual,SUV,black,1.0,26
9083,30990,2015,chevrolet,silverado 3500hd,2018-08-20,33,excellent,8.0,diesel,111686,automatic,other,white,1.0,9
9084,29500,2017,chevrolet,silverado 1500,2019-04-08,25,excellent,8.0,gas,51985,automatic,truck,white,1.0,7
9090,52000,2017,ford,f-250 super duty,2018-08-08,64,excellent,8.0,diesel,51000,automatic,truck,black,1.0,7
9093,24500,2018,jeep,cherokee,2018-11-04,2,excellent,6.0,gas,5110,automatic,SUV,grey,1.0,6
9099,10500,2015,ford,fusion,2019-02-02,10,excellent,4.0,gas,50205,automatic,sedan,green,1.0,9
9104,12990,2011,ford,f-150,2018-06-10,36,good,6.0,gas,104528,automatic,pickup,white,1.0,13
9105,14900,2011,ram,1500,2018-05-17,18,excellent,8.0,gas,116,automatic,truck,silver,1.0,13
9108,31990,2016,chevrolet,silverado 1500,2019-03-06,28,excellent,8.0,gas,24044,automatic,pickup,black,1.0,8
9112,16900,2009,ford,f-250 sd,2018-12-18,37,excellent,10.0,gas,59000,automatic,truck,white,1.0,15
9118,8000,2007,chevrolet,silverado 1500,2018-10-15,43,excellent,8.0,gas,167000,automatic,truck,grey,1.0,17
9123,20000,2016,chevrolet,silverado,2019-03-17,25,like new,8.0,gas,30000,automatic,truck,white,1.0,8
9126,6500,1992,jeep,wrangler,2018-11-29,18,excellent,6.0,gas,172000,manual,SUV,red,1.0,32
9130,3500,1998,chevrolet,silverado 1500,2018-11-17,38,good,8.0,gas,271000,automatic,truck,brown,1.0,26
9133,8500,2011,nissan,rogue,2019-03-08,62,good,4.0,gas,99000,automatic,SUV,silver,1.0,13
9142,31000,2015,ford,f150,2019-03-07,32,excellent,6.0,gas,73000,automatic,pickup,white,1.0,9
9145,34500,2018,toyota,tacoma,2018-11-19,16,excellent,6.0,gas,18326,automatic,pickup,silver,1.0,6
9151,24900,2013,ford,f150,2018-09-11,15,excellent,6.0,gas,104680,automatic,truck,blue,1.0,11
9155,47995,2016,cadillac,escalade,2019-03-07,161,good,8.0,gas,32893,automatic,SUV,grey,1.0,8
9156,2200,2000,ford,taurus,2018-12-10,10,good,4.0,gas,72783,automatic,sedan,custom,1.0,24
9161,2800,2004,ford,mustang,2018-06-13,42,good,6.0,gas,131000,automatic,coupe,red,1.0,20
9168,1,2017,ford,expedition,2019-04-01,45,excellent,10.0,gas,56048,other,SUV,grey,1.0,7
9169,1,2014,jeep,wrangler,2018-09-13,32,excellent,10.0,gas,84902,other,SUV,other,1.0,10
9172,1,2015,ford,edge,2018-11-09,23,excellent,6.0,gas,24897,automatic,SUV,black,1.0,9
9177,1,2014,chevrolet,camaro,2018-11-11,45,excellent,10.0,gas,62801,other,coupe,black,1.0,10
9178,1,2017,ram,3500,2018-06-23,85,excellent,10.0,gas,57482,other,truck,white,1.0,7
9181,1,2018,nissan,altima,2018-10-26,32,excellent,10.0,gas,42007,other,sedan,custom,1.0,6
9183,1,2016,dodge,charger,2019-03-11,26,excellent,10.0,gas,45000,other,sedan,custom,1.0,8
9184,3500,2007,jeep,grand cherokee,2018-10-13,109,good,8.0,gas,215000,automatic,SUV,silver,1.0,17
9187,20900,2012,ford,f-150,2018-09-20,11,good,6.0,gas,114479,automatic,truck,other,1.0,12
9190,10999,1989,chevrolet,silverado,2018-08-16,29,excellent,8.0,gas,118583,automatic,SUV,grey,1.0,35
9195,5900,2008,toyota,tacoma,2018-12-27,11,excellent,4.0,gas,114000,manual,pickup,silver,1.0,16
9198,14000,2014,ford,explorer,2018-07-10,9,excellent,6.0,gas,98000,automatic,SUV,white,1.0,10
9199,5995,2003,jeep,grand cherokee,2018-10-18,60,good,6.0,gas,106143,automatic,SUV,other,1.0,21
9203,7500,2010,jeep,grand cherokee,2018-05-31,42,excellent,6.0,gas,130248,automatic,SUV,red,1.0,14
9209,10995,2008,chevrolet,silverado 1500,2018-12-09,47,excellent,8.0,gas,147020,automatic,pickup,white,1.0,16
9210,12995,2001,ford,f350,2018-06-23,25,excellent,8.0,diesel,311859,automatic,pickup,black,1.0,23
9211,13500,2000,ford,f250,2018-08-24,17,excellent,8.0,diesel,261306,automatic,pickup,black,1.0,24
9214,15,2013,ford,f250,2018-09-23,44,excellent,8.0,gas,191000,automatic,pickup,other,1.0,11
9215,23000,2016,ram,1500,2018-05-03,68,like new,6.0,diesel,58000,automatic,truck,black,1.0,8
9217,23900,2018,ram,1500,2019-03-27,67,excellent,8.0,gas,25542,automatic,pickup,black,1.0,6
9219,26900,2012,ford,f-350 sd,2019-04-16,76,good,8.0,diesel,146278,automatic,truck,white,1.0,12
9226,5495,2008,chevrolet,trailblazer,2018-10-10,14,good,6.0,gas,125000,automatic,SUV,white,1.0,16
9230,19500,2014,ford,f150,2019-02-10,31,excellent,8.0,gas,106000,automatic,pickup,grey,1.0,10
9234,29700,2018,chevrolet,silverado 1500 crew,2019-04-19,59,good,6.0,gas,21659,automatic,pickup,red,1.0,6
9235,28500,2016,ford,f150 supercrew cab xlt,2019-03-05,77,good,6.0,gas,44044,other,pickup,black,1.0,8
9238,9995,2007,chevrolet,suburban,2018-09-11,31,good,8.0,gas,149501,automatic,SUV,black,1.0,17
9243,17500,2010,ford,f-250,2019-04-06,34,good,8.0,gas,96000,automatic,truck,silver,1.0,14
9245,37000,2018,chevrolet,silverado 1500 crew,2018-10-20,43,good,8.0,gas,30465,other,pickup,white,1.0,6
9246,26000,2012,ford,f350 super duty,2019-03-25,4,excellent,8.0,diesel,136000,automatic,pickup,white,1.0,12
9248,26896,2018,toyota,tacoma,2018-06-11,11,like new,4.0,gas,7286,automatic,pickup,black,1.0,6
9249,3295,1999,ford,f-150,2019-02-18,10,excellent,8.0,gas,170000,automatic,truck,red,1.0,25
9250,2500,1999,ford,f-150,2018-08-18,93,good,8.0,gas,7,automatic,truck,silver,1.0,25
9252,7900,2007,cadillac,escalade,2018-09-30,22,good,8.0,gas,191000,automatic,SUV,other,1.0,17
9263,6350,2004,ford,f150,2018-06-20,41,good,8.0,gas,194000,automatic,truck,other,1.0,20
9264,30500,2016,toyota,4runner,2019-02-03,5,excellent,6.0,gas,29329,automatic,SUV,silver,1.0,8
9266,18500,2002,gmc,sierra,2018-05-20,23,excellent,8.0,gas,119525,automatic,offroad,red,1.0,22
9267,7499,2009,chevrolet,silverado,2018-05-27,48,excellent,8.0,gas,162000,automatic,pickup,red,1.0,15
9270,54959,2018,chevrolet,silverado 2500hd,2018-09-13,15,like new,8.0,diesel,24500,automatic,truck,white,1.0,6
9271,32984,2015,chevrolet,tahoe,2018-10-15,33,like new,8.0,gas,71000,automatic,SUV,black,1.0,9
9272,25956,2017,jeep,wrangler,2018-10-10,23,like new,6.0,gas,37035,automatic,SUV,black,1.0,7
9275,30487,2015,toyota,tundra,2018-07-08,13,like new,8.0,gas,52500,automatic,truck,silver,1.0,9
9279,46267,2019,ford,f-250,2019-02-03,21,like new,8.0,diesel,1440,automatic,truck,grey,1.0,5
9280,39608,2016,chevrolet,silverado 2500hd,2019-02-12,19,like new,8.0,diesel,37392,automatic,truck,grey,1.0,8
9281,7500,2000,toyota,tundra,2018-08-31,16,good,8.0,gas,326000,automatic,pickup,white,1.0,24
9283,23586,2016,ford,edge,2019-02-04,22,like new,6.0,gas,35000,automatic,SUV,other,1.0,8
9285,16000,2007,chevrolet,silverado 2500hd,2018-10-11,13,excellent,8.0,diesel,226000,automatic,truck,other,1.0,17
9291,19995,2010,ram,2500,2019-03-27,53,excellent,6.0,diesel,260988,automatic,pickup,brown,1.0,14
9294,13995,2004,ram,2500,2019-03-22,39,excellent,6.0,diesel,224549,automatic,pickup,silver,1.0,20
9295,3999,2004,ford,f150,2018-08-21,17,good,8.0,gas,189771,automatic,truck,other,1.0,20
9296,5999,2012,ford,expedition,2018-10-07,24,excellent,8.0,gas,217860,automatic,SUV,silver,1.0,12
9298,6500,2004,gmc,sierra 1500,2018-05-08,27,fair,8.0,gas,349000,automatic,truck,other,1.0,20
9302,1,2018,ram,3500,2018-10-07,33,excellent,6.0,gas,3047,automatic,truck,white,1.0,6
9304,8500,2013,kia,sorento,2019-04-18,29,excellent,6.0,gas,93000,automatic,SUV,black,1.0,11
9305,6900,2008,ford,escape,2019-02-03,23,good,6.0,gas,123600,automatic,SUV,grey,1.0,16
9306,1,2014,ram,2500,2018-07-09,55,excellent,6.0,gas,36830,automatic,truck,white,1.0,10
9309,1,2017,ram,3500,2019-03-17,3,excellent,10.0,gas,57482,other,truck,white,1.0,7
9310,1,2012,ford,mustang,2018-08-13,20,excellent,10.0,gas,41469,automatic,coupe,orange,1.0,12
9319,11000,2008,ram,1500,2019-01-11,53,good,8.0,gas,110500,automatic,truck,silver,1.0,16
9320,29599,2017,jeep,wrangler,2019-01-21,105,like new,6.0,gas,42500,automatic,SUV,black,1.0,7
9321,14988,2010,toyota,tundra,2018-05-21,28,excellent,8.0,gas,190000,automatic,truck,silver,1.0,14
9322,17995,2011,chevrolet,silverado,2018-09-14,75,excellent,8.0,gas,122500,automatic,truck,black,1.0,13
9328,6950,2004,chevrolet,suburban,2018-10-03,96,good,8.0,gas,189128,automatic,wagon,white,1.0,20
9341,9000,2014,subaru,outback,2019-04-06,52,excellent,4.0,gas,135726,automatic,wagon,grey,1.0,10
9343,25000,2013,ford,f-150,2019-03-22,25,excellent,8.0,gas,81396,automatic,truck,other,1.0,11
9346,9800,2007,ford,f250,2019-03-03,48,good,8.0,diesel,262000,automatic,pickup,other,1.0,17
9352,3800,1999,ford,f-150,2018-07-30,23,good,8.0,gas,280000,automatic,offroad,red,1.0,25
9357,26500,2017,chevrolet,tahoe,2018-07-29,9,like new,8.0,gas,20000,automatic,SUV,other,1.0,7
9358,7995,2011,chevrolet,silverado 1500,2018-10-10,11,good,8.0,gas,190000,automatic,truck,white,1.0,13
9359,7200,2012,ford,explorer,2018-05-25,13,good,6.0,gas,160000,automatic,SUV,white,1.0,12
9367,31900,2013,ford,f-250 super duty,2018-07-26,59,excellent,8.0,diesel,177279,automatic,truck,white,1.0,11
9384,22900,2014,ford,f150 supercrew cab xlt,2019-01-13,52,good,6.0,gas,73711,automatic,pickup,other,1.0,10
9385,4500,2006,gmc,sierra 1500,2019-01-29,52,fair,8.0,gas,237507,automatic,truck,silver,1.0,18
9387,27500,2010,chevrolet,silverado 1500,2018-09-20,30,excellent,8.0,gas,99500,automatic,truck,silver,1.0,14
9388,25100,2014,ford,f150 supercrew cab xlt,2018-10-17,20,good,6.0,gas,53522,other,pickup,black,1.0,10
9393,17950,2012,chevrolet,silverado 1500,2018-10-17,37,like new,8.0,gas,158235,other,truck,black,1.0,12
9395,21950,2011,jeep,wrangler unlimited,2018-07-22,24,like new,6.0,gas,90325,automatic,SUV,white,1.0,13
9396,10950,2011,jeep,grand cherokee laredo,2018-12-05,21,like new,6.0,gas,134952,automatic,SUV,other,1.0,13
9397,14900,2014,ford,explorer,2018-07-25,43,excellent,6.0,gas,98000,automatic,SUV,white,1.0,10
9398,25200,2015,chevrolet,silverado 1500 crew,2018-11-20,32,good,8.0,gas,94954,automatic,pickup,other,1.0,9
9402,21499,2016,subaru,outback,2019-01-20,17,excellent,4.0,gas,41493,automatic,wagon,brown,1.0,8
9421,29990,2016,chevrolet,silverado 1500,2019-01-17,61,excellent,8.0,gas,23866,automatic,pickup,black,1.0,8
9422,28990,2016,chevrolet,silverado 1500,2018-05-27,18,excellent,8.0,gas,29827,automatic,pickup,other,1.0,8
9427,6900,2010,chevrolet,silverado 1500,2018-08-17,33,excellent,8.0,gas,270,automatic,pickup,white,1.0,14
9438,16900,2007,ford,f350,2018-09-20,94,excellent,8.0,diesel,147666,automatic,pickup,other,1.0,17
9439,9495,2008,chevrolet,silverado 1500,2018-08-18,50,good,8.0,gas,187214,automatic,truck,grey,1.0,16
9441,6300,2003,nissan,murano,2019-03-07,50,good,6.0,gas,124000,automatic,SUV,silver,1.0,21
9442,15995,2016,jeep,cherokee,2018-08-13,73,like new,4.0,gas,100160,automatic,SUV,black,1.0,8
9443,12995,2003,ford,f350 super duty,2019-01-13,5,like new,8.0,diesel,109473,automatic,truck,silver,1.0,21
9444,23000,2014,ford,f150 supercrew cab xlt,2019-04-18,36,good,6.0,gas,77994,other,pickup,other,1.0,10
9448,27800,2016,ford,f150 supercrew cab xlt,2019-04-12,79,good,6.0,gas,47570,other,pickup,white,1.0,8
9449,30300,2017,ford,f150 supercrew cab xlt,2018-07-12,106,good,6.0,gas,30339,automatic,pickup,brown,1.0,7
9450,23000,2014,ford,f150 supercrew cab xlt,2019-04-17,98,good,6.0,gas,77994,other,pickup,orange,1.0,10
9451,33900,2018,chevrolet,silverado 1500 crew,2018-07-13,50,good,8.0,gas,11315,other,pickup,white,1.0,6
9452,27800,2016,ford,f150 supercrew cab xlt,2018-08-31,44,good,6.0,gas,47570,other,pickup,white,1.0,8
9457,11000,2005,ford,f-250 super duty,2018-06-17,146,excellent,8.0,diesel,176000,automatic,truck,white,1.0,19
9463,1,2015,ford,edge,2018-06-21,83,excellent,6.0,gas,24897,automatic,SUV,black,1.0,9
9464,1,2018,nissan,rogue,2018-10-12,26,excellent,10.0,gas,6952,other,SUV,blue,1.0,6
9465,1,2019,nissan,rogue,2019-03-11,21,excellent,4.0,gas,14058,automatic,SUV,other,1.0,5
9466,1,2017,honda,accord,2018-05-14,20,excellent,10.0,gas,17760,automatic,coupe,other,1.0,7
9467,1,2015,toyota,sienna,2018-07-23,68,excellent,6.0,gas,45208,automatic,van,black,1.0,9
9468,1,2018,gmc,acadia,2018-09-04,8,excellent,6.0,gas,23373,automatic,SUV,other,1.0,6
9469,1,2016,toyota,rav4,2018-06-24,22,excellent,10.0,gas,42523,other,SUV,other,1.0,8
9470,1,2014,honda,odyssey,2018-08-28,116,excellent,10.0,gas,74946,automatic,van,grey,1.0,10
9474,1,2016,ram,3500,2018-07-06,5,excellent,10.0,gas,43200,other,truck,other,1.0,8
9476,1,2016,toyota,tundra,2019-03-05,53,excellent,10.0,gas,47139,other,truck,other,1.0,8
9485,28999,2017,chevrolet,silverado,2019-02-15,53,like new,8.0,gas,19570,automatic,truck,silver,1.0,7
9488,21499,2016,subaru,outback,2018-07-03,42,excellent,4.0,gas,41493,automatic,wagon,brown,1.0,8
9490,21499,2016,subaru,outback,2018-10-28,9,excellent,4.0,gas,41493,automatic,wagon,brown,1.0,8
9491,17995,2010,cadillac,escalade,2018-09-09,17,excellent,8.0,gas,115343,automatic,SUV,grey,1.0,14
9493,13900,2014,ford,f-150,2018-05-21,11,excellent,6.0,gas,195,automatic,truck,blue,1.0,10
9499,15500,2012,ford,f250,2018-11-26,31,excellent,8.0,gas,91,automatic,truck,white,1.0,12
9503,33575,2017,jeep,grand cherokee,2019-01-14,30,excellent,6.0,gas,42938,automatic,SUV,black,1.0,7
9509,19500,2017,subaru,outback,2018-07-18,21,excellent,4.0,gas,31000,automatic,SUV,other,1.0,7
9513,14900,2014,ford,explorer,2018-06-04,19,excellent,6.0,gas,98000,automatic,SUV,white,1.0,10
9518,15995,2014,ford,f150,2019-04-02,68,excellent,8.0,gas,168013,automatic,pickup,white,1.0,10
9519,16995,2011,jeep,wrangler,2019-01-24,60,excellent,6.0,gas,139616,automatic,SUV,black,1.0,13
9524,12995,2003,chevrolet,silverado 2500hd,2019-04-01,20,excellent,8.0,diesel,188575,automatic,pickup,black,1.0,21
9531,1,2015,dodge,charger,2018-05-02,29,excellent,10.0,gas,59772,other,sedan,custom,1.0,9
9532,1,2016,ford,mustang,2018-11-10,10,excellent,10.0,gas,15519,manual,coupe,grey,1.0,8
9533,1,2018,chevrolet,camaro,2018-12-30,45,excellent,10.0,gas,6886,manual,coupe,red,1.0,6
9534,1,2018,nissan,altima,2019-03-14,45,excellent,10.0,gas,42007,other,sedan,custom,1.0,6
9535,1,2015,ford,edge,2018-08-08,195,excellent,6.0,gas,24897,automatic,SUV,other,1.0,9
9536,1,2016,dodge,charger,2018-11-14,27,excellent,10.0,gas,29406,other,sedan,red,1.0,8
9538,1,2015,chevrolet,camaro,2018-10-06,7,excellent,10.0,gas,28926,other,coupe,grey,1.0,9
9540,1,2016,chevrolet,camaro,2018-12-06,47,excellent,10.0,gas,48223,other,coupe,silver,1.0,8
9541,1,2017,toyota,corolla,2018-10-14,31,excellent,4.0,gas,27295,automatic,sedan,white,1.0,7
9544,1,2018,nissan,rogue,2018-11-18,17,excellent,4.0,gas,34847,automatic,SUV,silver,1.0,6
9549,7995,2013,kia,sorento,2019-02-12,62,excellent,6.0,gas,125402,automatic,SUV,grey,1.0,11
9552,4500,2004,ford,f150,2019-01-09,36,good,8.0,gas,189771,automatic,truck,red,1.0,20
9558,5000,2004,ford,explorer,2018-10-19,51,excellent,8.0,gas,136000,automatic,SUV,other,1.0,20
9560,22995,2012,chevrolet,silverado 1500,2019-02-08,13,like new,8.0,gas,99016,automatic,truck,blue,1.0,12
9568,12300,2008,ford,f-150,2018-08-28,24,new,8.0,gas,178000,automatic,truck,white,1.0,16
9569,4200,2003,bmw,x5,2018-07-31,24,good,8.0,gas,218435,automatic,SUV,black,1.0,21
9571,19995,2006,ford,f350 super duty,2018-09-03,26,like new,8.0,diesel,142645,automatic,truck,black,1.0,18
9575,9800,2006,gmc,sierra 2500hd,2019-03-04,7,fair,8.0,diesel,235000,automatic,pickup,blue,1.0,18
9577,36000,2015,toyota,tundra,2018-10-26,28,excellent,6.0,gas,54000,automatic,pickup,other,1.0,9
9585,21000,2016,ram,1500,2018-05-08,33,excellent,8.0,gas,68181,automatic,pickup,black,1.0,8
9588,2800,1999,subaru,impreza,2018-06-12,19,excellent,4.0,gas,132704,automatic,hatchback,black,1.0,25
9590,3500,2004,jeep,grand cherokee laredo,2019-04-04,22,good,8.0,gas,154000,automatic,SUV,silver,1.0,20
9596,19500,2014,chevrolet,silverado,2018-10-29,27,excellent,8.0,gas,113700,automatic,truck,other,1.0,10
9597,3000,2003,chevrolet,silverado,2018-05-13,23,fair,8.0,gas,293000,automatic,pickup,red,1.0,21
9602,2500,2007,subaru,outback,2018-12-06,32,good,4.0,gas,188000,automatic,SUV,blue,1.0,17
9609,23000,2013,chevrolet,silverado 1500,2018-07-01,74,excellent,8.0,gas,91000,automatic,truck,silver,1.0,11
9610,6500,2003,chevrolet,silverado,2018-05-15,4,good,8.0,gas,166000,automatic,truck,black,1.0,21
9613,15800,2015,subaru,forester,2018-06-22,26,good,4.0,gas,31000,automatic,SUV,blue,1.0,9
9616,19750,2012,bmw,x5,2018-05-05,88,excellent,6.0,diesel,45760,automatic,SUV,black,1.0,12
9617,25995,2014,gmc,sierra 1500,2018-11-02,24,excellent,8.0,gas,69281,automatic,truck,other,1.0,10
9618,29995,2013,gmc,sierra 2500hd,2018-08-17,25,excellent,8.0,diesel,80279,automatic,truck,black,1.0,11
9619,31995,2011,chevrolet,silverado 3500hd,2018-10-18,64,excellent,8.0,diesel,129386,automatic,truck,blue,1.0,13
9621,22995,2010,ford,f-250 sd,2018-11-05,80,excellent,8.0,diesel,84546,automatic,truck,white,1.0,14
9624,31500,2018,chevrolet,colorado,2018-07-12,20,like new,6.0,gas,24665,automatic,truck,white,1.0,6
9626,1,2018,chevrolet,silverado,2018-11-21,64,new,10.0,electric,30000,automatic,truck,red,1.0,6
9628,30900,2013,jeep,wrangler unlimited,2018-12-28,22,excellent,6.0,gas,32000,automatic,SUV,white,1.0,11
9630,8995,2008,toyota,highlander,2018-10-03,207,like new,6.0,gas,156000,automatic,SUV,other,1.0,16
9633,14395,2013,bmw,x5,2018-05-20,32,like new,6.0,gas,87506,automatic,SUV,other,1.0,11
9638,10900,2012,jeep,liberty,2018-08-30,55,excellent,6.0,gas,95169,automatic,SUV,grey,1.0,12
9640,16900,2016,subaru,forester,2019-03-31,45,excellent,4.0,gas,53300,automatic,SUV,grey,1.0,8
9645,17995,2014,jeep,grand cherokee,2018-11-02,16,like new,8.0,gas,45000,automatic,SUV,brown,1.0,10
9646,30300,2017,ford,f150 supercrew cab xlt,2018-12-18,62,good,6.0,gas,30339,automatic,pickup,brown,1.0,7
9650,20990,2009,ram,2500,2018-12-19,33,good,8.0,gas,107469,automatic,truck,white,1.0,15
9651,15990,2001,gmc,sierra 1500,2018-06-29,14,good,8.0,gas,61030,automatic,truck,black,1.0,23
9652,23990,2015,ford,f-350 sd,2018-05-14,32,good,8.0,gas,136940,automatic,truck,white,1.0,9
9655,26995,2014,jeep,wrangler unlimited,2018-10-01,19,excellent,6.0,gas,79485,automatic,offroad,white,1.0,10
9656,14990,2012,jeep,wrangler,2019-03-03,25,good,6.0,gas,150356,automatic,SUV,other,1.0,12
9657,19490,2013,chevrolet,silverado 2500hd,2018-07-20,53,good,8.0,gas,77755,automatic,truck,custom,1.0,11
9658,28990,2015,ford,f-350 sd,2018-11-27,38,good,8.0,diesel,54362,automatic,truck,white,1.0,9
9662,28990,2015,ford,f-350 sd,2019-01-17,28,good,8.0,diesel,53628,automatic,truck,white,1.0,9
9665,20990,2011,ford,f-350 sd,2018-10-28,52,good,8.0,gas,63887,automatic,truck,white,1.0,13
9669,26995,2013,ford,f-250 sd,2019-04-03,18,excellent,8.0,gas,40454,automatic,truck,other,1.0,11
9670,5500,2005,chevrolet,silverado 1500,2018-11-13,65,good,8.0,gas,187072,automatic,truck,red,1.0,19
9671,8500,2001,chevrolet,silverado 2500hd,2019-01-24,5,good,8.0,diesel,240000,automatic,truck,black,1.0,23
9672,3800,2005,ram,1500,2019-04-01,42,good,8.0,gas,235000,automatic,pickup,other,1.0,19
9676,31000,2017,ford,f-250 super duty,2019-01-11,25,like new,8.0,diesel,87000,automatic,pickup,white,1.0,7
9677,35395,2018,ford,f-250 super duty,2018-06-14,33,like new,8.0,diesel,50000,automatic,truck,white,1.0,6
9685,4600,2006,dodge,dakota,2018-10-20,9,good,8.0,gas,134000,automatic,pickup,grey,1.0,18
9686,8995,2008,toyota,highlander,2019-02-08,24,like new,6.0,gas,156000,automatic,SUV,grey,1.0,16
9692,14395,2013,bmw,x5,2019-03-06,57,like new,6.0,gas,87506,automatic,SUV,grey,1.0,11
9695,7900,1996,toyota,4runner,2018-10-13,11,good,6.0,gas,98000,automatic,SUV,white,1.0,28
9696,15500,2012,ford,f250,2018-08-05,102,excellent,8.0,gas,91,automatic,truck,white,1.0,12
9697,6500,2011,subaru,outback,2019-04-13,20,excellent,6.0,gas,101000,automatic,SUV,other,1.0,13
9700,65990,2019,chevrolet,silverado 2500hd,2019-04-06,36,excellent,8.0,diesel,12740,automatic,pickup,other,1.0,5
9704,19900,2002,gmc,sierra 2500hd,2018-08-23,68,excellent,8.0,gas,49000,automatic,truck,white,1.0,22
9708,1200,1995,gmc,sierra,2018-08-14,80,fair,8.0,gas,200000,automatic,truck,other,1.0,29
9709,16900,2009,ford,f-250 sd,2018-09-22,98,excellent,10.0,gas,59000,automatic,truck,white,1.0,15
9710,23000,2018,subaru,outback,2018-09-17,80,like new,4.0,gas,56982,automatic,SUV,black,1.0,6
9711,32990,2011,ram,3500,2018-08-24,47,excellent,6.0,diesel,96753,automatic,pickup,brown,1.0,13
9712,27995,2015,ram,2500,2018-12-24,29,excellent,6.0,diesel,170713,automatic,pickup,black,1.0,9
9715,12900,2006,chevrolet,silverado 2500hd,2019-01-25,120,excellent,8.0,gas,185000,automatic,truck,white,1.0,18
9718,28900,2011,ford,f-350 sd,2018-06-07,27,excellent,8.0,diesel,120000,automatic,truck,white,1.0,13
9719,14500,2004,chevrolet,silverado 2500hd,2018-05-11,82,excellent,8.0,gas,106000,automatic,truck,grey,1.0,20
9724,3250,2002,ford,ranger,2018-08-05,57,good,6.0,gas,126600,automatic,pickup,white,1.0,22
9726,19800,2014,chevrolet,silverado,2018-11-27,17,good,8.0,diesel,150764,automatic,truck,grey,1.0,10
9730,9000,2003,ram,1500,2019-02-02,104,excellent,8.0,gas,104000,automatic,truck,grey,1.0,21
9734,16900,2009,ford,f350,2018-05-24,30,excellent,10.0,gas,104000,automatic,truck,white,1.0,15
9736,3500,2004,honda,cr-v,2018-11-11,7,excellent,4.0,gas,179000,automatic,SUV,brown,1.0,20
9737,22000,2010,ford,f-150,2019-04-05,62,good,8.0,gas,98130,automatic,truck,orange,1.0,14
9745,23995,2013,ford,f-150,2019-04-19,16,excellent,8.0,gas,102015,automatic,truck,other,1.0,11
9747,26750,2014,ford,f-150,2018-09-27,92,excellent,6.0,gas,95330,automatic,truck,green,1.0,10
9749,4700,2006,nissan,murano,2018-08-21,35,good,6.0,gas,130473,automatic,SUV,red,1.0,18
9755,4500,2002,ram,1500,2019-01-12,15,good,8.0,gas,220000,automatic,truck,other,1.0,22
9756,24900,2015,ram,1500,2018-08-13,49,excellent,8.0,gas,22000,automatic,truck,red,1.0,9
9758,2500,1987,jeep,cherokee,2019-01-23,22,fair,6.0,gas,166000,manual,SUV,black,1.0,37
9759,8900,2011,jeep,grand cherokee laredo,2018-08-29,64,good,6.0,gas,131793,automatic,SUV,black,1.0,13
9761,13950,2016,chevrolet,traverse,2018-11-24,59,good,6.0,gas,52504,automatic,SUV,silver,1.0,8
9763,13950,2016,chevrolet,traverse,2018-10-04,16,good,6.0,gas,52504,automatic,SUV,silver,1.0,8
9766,10999,2004,ford,f250 super duty,2019-01-18,11,excellent,8.0,diesel,145037,automatic,pickup,silver,1.0,20
9774,40988,2018,chevrolet,silverado,2018-09-23,21,like new,8.0,gas,20000,automatic,truck,red,1.0,6
9776,31588,2018,chevrolet,colorado,2018-09-29,6,like new,6.0,gas,7659,automatic,truck,blue,1.0,6
9777,3450,2008,ford,escape,2018-11-10,64,good,6.0,gas,148978,automatic,SUV,blue,1.0,16
9779,20990,2009,ram,2500,2018-09-14,35,good,8.0,gas,107469,automatic,truck,white,1.0,15
9780,14990,2012,jeep,wrangler,2018-05-31,85,good,6.0,gas,150356,automatic,SUV,silver,1.0,12
9781,19490,2013,chevrolet,silverado 2500hd,2019-03-16,42,good,8.0,gas,77755,automatic,truck,custom,1.0,11
9782,45500,2018,chevrolet,silverado,2018-11-03,76,new,8.0,diesel,10200,automatic,pickup,white,1.0,6
9783,19990,2012,ford,f-250 sd,2019-04-05,9,good,8.0,gas,81207,automatic,truck,custom,1.0,12
9789,18990,2000,ford,f-350 sd,2018-08-16,18,good,8.0,diesel,118774,automatic,truck,silver,1.0,24
9791,28990,2015,ford,f-350 sd,2018-06-02,20,good,8.0,diesel,53628,automatic,truck,white,1.0,9
9794,20990,2011,ford,f-350 sd,2019-01-15,24,good,8.0,gas,63887,automatic,truck,white,1.0,13
9797,21499,2016,subaru,outback,2019-01-19,15,excellent,4.0,gas,41493,automatic,wagon,brown,1.0,8
9803,10999,2012,nissan,rogue,2018-10-21,64,good,4.0,gas,65807,automatic,wagon,black,1.0,12
9804,8500,2014,ford,explorer,2018-07-22,42,like new,8.0,gas,153235,automatic,SUV,black,1.0,10
9805,13000,2005,jeep,wrangler,2018-06-22,7,excellent,6.0,gas,81000,automatic,offroad,white,1.0,19
9806,21988,2017,chrysler,300,2018-11-17,50,like new,6.0,gas,36000,automatic,sedan,black,1.0,7
9811,5995,2004,chevrolet,tahoe,2019-02-03,56,good,8.0,gas,212034,automatic,SUV,black,1.0,20
